Role,Company,Location,Contract,Salary,Job_description
"Assistant Director, Transaction Services Analytics, Financial Advisory, London",Deloitte,London,NA,NA,"Your opportunityThis role within the growing Financial Advisory Mergers and Acquisitions (M&A) Analytics team, part of the wider Transaction Services Analytics team. Working on high profile assignments with some of the best in the field, you will have the opportunity to work on a wide variety of projects, with a mix of both corporate and private equity transactions, within a highly commercial, client focussed environment. Our analytics team provide support to the deal team through the analysis and manipulation of large data sets to provide compelling, value add outputs to our clients. Our analytics team develop static & interactive data visualisations to communicate business insights to clients. Typically, this involves the investigation of the target from a variety of perspectives to ensure significant value items, risks and other matters have been identified and considered by our client and assisting them in making an informed decision regarding the transaction. We are proud to offer flexible working arrangements which allow our people to choose the most suitable working arrangement that works for them. Whether this is working 4 days per week, taking the summer months off work, or more flexibility around your working pattern, we consider both formal and informal working arrangements that allow our people and our clients the best outcome. If you would like to hear more about our flexible working arrangements, please let us know. Are you looking to return to the workplace after an extended career break? For this role we can offer coaching and support designed for returners to refresh your knowledge and skills, and help your transition back into the workplace after a career break of 2 years or more. If this is relevant for you, just let your recruiter know when you make your application. Your role The Transaction Services group is seeking an Assistant Director within the Transaction Services Analytics. This role is critical with respect to providing analytically focused Financial due diligence and M&A transaction support to our clients. This role will be pivotal in shaping the client service capabilities of Deloitte’s M&A teams. The ideal candidate for this position will be able to bridge the gap between financial analysis and M&A, with data science and analytics expertise. Responsibilities: Quickly develop an understanding of the target business and its driversManipulate large data sets to provide compelling, value add outputsDevelop static & interactive data visualisations to communicate business insights to clientsBuild visualisations and supporting analysis of historical trading, quality of earnings, working capital, cash flow, etc.Collaborate extensively with Deloitte engagement teams and clientsClearly and effectively communicate requirements, timelines and insights to both internal Deloitte team members, as well as clientsWork effectively in diverse teams within an inclusive team culture where people are recognised for their contributionYour work, your choiceAt Deloitte we believe the best impact is the value we add, not the hours we sit at our desk. We carefully consider agile ways of working, both formal and informal, that allow for the best impact for our people and our clients. Please speak to your recruiter about the working pattern that works best for you. Location: London, however travel will be required for client based projects. We work across industry specialisms – our clients are varied, and vary in location. Whilst some clients are based locally, we do spend time on site with clients located further afield. Work pattern: Permanent full-time Requirements: Finance accounting background, preferably ACA/ACCA/CIMA qualified or equivalentExperience of buy and sell-side due diligence, vendor assist and complex carve outs Experience of financial M&A and M&A analytics projectsFinancial data analysis and consolidationA knowledge of SQL Server, Tableau (or other visual tools such as Qlikview, PowerBi), Alteryx (or other ETL tools) Power Query, R and Python knowledge Ability to ETL client data to facilitate analysis / visualizationAbility to manage, analyse and present findings from large volumes of dataPrevious relevant work experience, involving the technical execution of large financial data analytics projectsExperience in a financial or M&A environment Experience in a Consulting/professional services/strategy environment desirable, or a similar business partnering role at a large corporateProven analytical skills and systematic problem solvingAbility to develop and present new ideas and conceptualize new approaches and solutionsDemonstrated ability to work with others effectively in teamsSalary; Market Rate. Open date: 31.03.2020; Closing date: 28.04.2020. Full Time Your service line: Financial Advisory Advising clients in the moments that define their business takes multiple layers of expertise. Much more than due-diligence, this is about diverse teams of specialists coming together, crossing service lines and international borders to tackle the many, complex issues involved in major transactions. And we have one of the broadest networks in the business. Here, you’ll find fascinating, career-building projects, market leading approaches, cutting-edge resources, huge clients and inspirational colleagues. As well as opportunities to develop a deep industry or product specialism.  Personal independence Regulation and controls are standard practice in our industry and Deloitte is no exception. These controls provide important legal protection for both you and the firm. We are subject to a number of audit regulations, one of which requires that certain colleagues abide by specific personal independence constraints. This can mean that you and your ""Immediate Family Members"" are not permitted to hold certain financial interests (shares, funds, bonds etc.) with audit clients of the firm. The recruitment team will provide further detail as you progress through the recruitment process.  About Deloitte  Our Purpose & Strategy To make an impact that matters for our clients, our people and society - defines who we are and what we stand for. Our purpose provides the foundation for our strategy and our aspiration to be the undisputed leader in professional services: this is not about size, it's about being the first choice. The first choice for the largest and most influential clients, and the first choice for the best talent. What do we do? Deloitte offers global integrated professional services that include Audit & Assurance, Consulting, Financial Advisory, Legal, Risk Advisory and Tax Consulting. Our approach combines intellectual leadership, industrial expertise, insight, consulting & problem solving capabilities whatever the role, technology revolutions and innovation from multiple disciplines to help our clients excel anywhere in the world. Beyond the UK: Deloitte North and South Europe The UK is part of Deloitte North and South Europe (NSE), the second largest member firm in the Deloitte network. Deloitte NSE combines operations in Belgium, Greece, Ireland, Italy, Malta, the Netherlands, the Nordics (Denmark, Finland, Iceland, Norway and Sweden), Switzerland and the UK. Deloitte NSE brings together 2,500 partners and over 40,000 people, combining our unmatched breadth and depth of capabilities in audit and assurance, consulting, financial advisory, risk advisory, and tax and legal across the region. Being part of Deloitte NSE supports our aspiration to be the undisputed leader in professional services and will create more opportunity and growth for our people. What do we value? What brings us all together at Deloitte? It’s how we approach the thousands of decisions we make every day. How we behave, our beliefs and our attitudes. In other words: our values. Whatever we do, wherever we are in the world, we lead the way, serve with integrity, take care of each other, foster inclusion, and collaborate for maximum impact. These five shared values lead every decision we make and action we take, guiding us to deliver impact how and where it matters most. Being a Leader at Deloitte Cultural fit and purpose-led leadership is crucial for Deloitte. Our leaders always set the example and inspire their colleagues. They make quality time for people and take an interest in them. They know what matters to people - both inside and outside work – and value them as individuals; always finding opportunities to develop them while showing respect and appreciation. We expect colleagues at all levels to embrace and live our purpose and our leadership culture by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters. We know leadership comes in all shapes and sizes, but our Leadership Charter helps all of our people understand what we’re looking for: We live our purpose: we act as a role model, embracing and living our purpose and values, and recognising others for the impact they makeWe develop talent: we develop high-performing people and teams through challenging and meaningful opportunitiesWe drive performance: we deliver exceptional client service; maximise results and drive high performance from people while fostering collaboration across businesses and bordersWe believe positive influence can make an impact that matters: we influence clients, teams, and individuals positively, leading by example and establishing confident relationships with increasingly senior peopleWe move, together, towards a strategic direction: we understand key objectives for clients and Deloitte, aligning people to objectives and setting priorities and direction.  Deloitte LLP is a limited liability partnership registered in England and Wales with registered number OC303675 and its registered office at 1 New Street Square, London EC4A 3HQ, United Kingdom.Deloitte LLP is the United Kingdom affiliate of Deloitte NSE LLP, a member firm of Deloitte Touche Tohmatsu Limited, a UK private company limited by guarantee (""DTTL""). DTTL and each of its member firms are legally separate and independent entities. DTTL and Deloitte NSE LLP do not provide services to clients. Please see www.deloitte.com/about to learn more about our global network of member firms. © 2020 Deloitte LLP. All rights reserved. Requisition code: 177222"
Quant / Data Scientist : High Salaries/Total Comp,Oho Group Ltd,London,NA,NA,"Quant Analyst/Data Scientist is sought to join one of London's highest: calibre teams of Quantitative / Quant Researchers. This is a rare opportunity for an experienced Data Scientist with an impressive track: record to be able bring their expertise into a highly selective hedge fund that has in the past taken on only the very best candidates in a traditional quant mould. As a Data Scientist you will have: : A Masters or PhD level Qualification from a Top 20 European University (or equivalent) : A first: class undergraduate degree : Expert Mathematical Knowledge and understanding of large, complex datasets : Use of the latest Data Science toolkit and ability to introduce this into new work  If you are a Data Scientist that is looking to move into a more complex role and have found that your current position is less focussed on 'hardcore data science' that you would like then send your CV through for review and to discuss how you can apply your skills in a technically challenging but highly rewarding environment. The successful data scientist will operate in a high: performance culture that celebrates quality of work rather than working long hours but rewards the UK's top tech talent very well financially. Data Scientist : Quant Researcher : PhD : Maths : Masters : First: class"
Data Scientist (Hedge Fund),Oho Group Ltd,London,NA,NA,"Data Science, Data Analysis, Python, Pandas, Statistics, Mathematics  A Data Science position has just recently opened up with a top quantitative hedge: fund based in the heart of Mayfair. The company you will be working with manages billions of pounds worth of assets and have a reputation for having some of the best Quants, developers, and Data Scientists in London. Data Scientist : Role;  Your role as a data scientist will be to work closely with quantitative researchers to draw insight from post: trade analysis, cost: efficiency and to give quants the data they need to build trading models. Data Scientist : You're skills;  You will have some existing experience as a Data Scientist/Analyst and likely come from a mathematics background with particularly strong statistics and knowledge of how to program in Python (ideally Panda's)  If you're a Data Scientist who wants to get exposure to working at a top quantitative hedge: fund then I'd love to have a chat, please apply to find out more.  Data Science, Data Analysis, Python, Pandas, Statistics, Mathematics"
"Solution Engineer, BI & Analytics, Tableau",Salesforce,London,NA,NA,"Job Category Sales Job Details Solution Engineer, BI & Analytics, Tableau Who we are….. Tableau is one of the world’s fastest growing software companies. We’ve been ranked as the clear market leader in the Gartner Magic Quadrant for BI & Analytics for the seventh year running. Not only do we have world-class products, Tableau is also the 3rd fastest growing marketable skill! Our world expansion continues to help people see and understand their data, and we’re growing on a huge scale. We are hiring Solution Engineers, to come and join one of the best technical pre-sales teams in the world, and if you’d like to be part of our journey, we’d love to hear from you. What you’ll be doing…. Our Solution Engineers are the key technical point of contact for all customer accounts at Tableau, helping them solve complex data and analytical issues during the sales cycle. Tableau’s Sales team will rely on your business advisory, technical and product expertise throughout the sales process, whilst also performing technical discovery qualification, propose architectural recommendations for the solution, deliver product demonstrations and Proof of Concepts. Additionally you will trouble technical configuration engagements. We hire based on skills, and experience and are open to hiring at all levels for the right candidate. Who you are….. New to pre-sales? These are the core skills you'll need to be successful: Education. Degree in Computer Science, Software Engineering, MIS or an analytical subject, or equivalent work experience. Experience. Strong hands-on commercial experience and hands-on technical experience in; Business Intelligence, ETL, Analytics, Big Data, Data Science, Databases, Data Warehousing and/or Software Architecture. Communication. Excellent verbal communication, written communication, and presentation skills. Excellent presentation abilities and composure in front of all levels of technical and business audiences. Flexibility. To travel as needed and to work flexible hours throughout the sales territory Seasoned Pre-sales professional? These are the core skills you'll need to be successful: Experienced. Demonstrable pre-sales enterprise software experience gained within the BI/Analytics/Data sector or a related technical area. Skillset to establish trust with clients, and ability to influence during the sales cycle. Highly Technical. Hands-on technical experience in some of; Business Intelligence, ETL, Analytics, Big Data, Data Science, Databases, Data Warehousing and/or Software Architecture. Involvement in architectural discussions. Domain. Experience building and delivering Proofs of Concept (PoCs) and responding to functional & technical elements of RFIs/RFPs. Passionate. A passion for technology and translating that passion into business impact for customers. Communication. Excellent verbal communication, written communication, and presentation skills in front of all audiences. Fluency is required in English. Flexibility. To travel as needed and to work flexible hours throughout the sales territory What you’ll achieve in your first year: Complete Tableau’s world-class boot-camp program in Seattle Your Tableau Desktop Qualified Associate qualification. Your Tableau Server Qualified Associate qualification. Your Tableau Certified Professional qualification. Support the full pre-sales lifecycle on a set of accounts or territory. Ownership of a key initiative area to support development for the whole team. Attend and present best practices at one of our world-class marketing events Partner with your account executives on territory, account and opportunity planning. Influence product direction by feeding back customer requirements from the field to our product management and engineering teams Be an integral part of our customers’ ongoing success through continual engagement in your accounts Be a valued part of our incredible Tableau community through forums, blogs and social media. Recruit and mentor the next generation of Tableau talent. #LI-TH1 Accommodations - If you require assistance due to a disability applying for open positions please contact the Salesforce.com Recruiting Department . Posting Statement Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay fees to any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org."
Head of Data Science - UK Consultancy,Ultimate Asset,London,NA,"£120,000 - £140,000 a year","One of the UK's most prolific management consultancies are looking to bring a senior data science expert to sit part of their data & insights leadership team here in London. As part of their company strategy, they are on a mission to truly help all their partners become insight led and deliver exceptional business value. AI is at the heart of everything they do, whether that be deep learning, machine learning, computer vision etc. and they are looking for a leader who understands these techniques and can lead a large team to achieve both business & commercial goals. The role is really about delivering exceptional solutions, offering expert advice and building, motivating and driving results through your team. What are we looking for? Expertise in the field of Data Science & Artificial Intelligence Commercial Leader with vision. Proven track record of achieving exceptional results with partners/clients. Experience in leading a large team of 30+ data & insights experts. Knowledge of techniques including, Deep Learning, NLP, Time Series, graph data analytics, pattern detection etc. Experience using Python, Spark or R Prior knowledge of SQL (PostgreSQL is preferred but not essential) Use of the up to date Data Science platforms including, SageMaker, Databricks, Dataiku & AML) Experience building and deploying solutions to Cloud (AWS, Google Cloud & Azure) If you're interested in hearing more, please apply now."
CIB Applied AI & Machine Learning – Finance & Business Management - Associate,JP Morgan Chase,London E14,NA,NA,"About J.P. Morgan Corporate & Investment Bank J.P. Morgan’s Corporate & Investment Bank is a global leader across banking, markets, securities services and wholesale payments. The world’s most important corporations, governments and institutions entrust us with their business in more than 100 countries. The Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world. About Data Analytics within Corporate & Investment Bank Data Analytics at J.P. Morgan Corporate Investment Bank combines cutting edge machine learning techniques with the company’s unique data assets to optimize all the business decisions we make. In this role, you will be part of our industry-leading data analytics team, and advance the state-of-the-art in financial applications ranging from generating business intelligence to predictive models and automated decision making. The role will be in the firm’s Applied AI and Machine Learning organization and will involve working closely with Finance & Business Management. About Finance & Business Management CIB Finance & Business Management includes traditional finance functions as well as teams that provide leverage to the management and execution of priorities including business, control, and program management. Responsibilities The successful candidate will apply data analytics techniques from both traditional statistics and machine learning to a combination of third party, publically available and J.P. Morgan proprietary datasets, with the goal of answering questions relevant to Finance & Business Management. Collaborate with Finance & Business Management colleagues to formulate relevant financial and business questions that can be answered by data analysis. Research and analyze data sets using a variety of statistical and machine learning techniques Communicate final results and give context. Document approach and techniques used. Work on longer term projects, building tooling that can be used to scale certain types of analyses across multiple datasets and business use cases. Collaborate with other J.P. Morgan machine learning teams. Required Technical Qualifications and experience MS or PhD in a quantitative discipline, e.g. Computer Science, Mathematics, Statistics, Operations Research, Data Science, or similar BS with experience in a highly quantitative position. Hands-on experience analyzing data. Strong ability to develop and debug in Python or similar professional programming language. Problem solving and collaboration skills Nice to Have Ideally, some experience with machine learning APIs and computational packages (examples: TensorFlow, Theano, PyTorch, Keras, Scikit-Learn, NumPy, SciPy, Pandas, statsmodels). Experience with big-data technologies such as Hadoop, Spark, SparkML, etc. Able to work both individually and collaboratively in teams, in order to achieve project goals. Be curious, hardworking and detail-oriented, and motivated by complex analytical problems. The ability to design or evaluate intrinsic and extrinsic metrics of your model’s performance which are aligned with business goals. Be able to independently research and propose alternatives with some guidance as to problem relevance. Be able to undertake basic and advanced EDA, may require some direction from more senior team; should be aware of limitation and implication of methodology choices. Ensures re-use and sharing of ideas within team and locale. Able to work with non-specialists in a partnership model, conveys information clearly and creates a sense of trust with stakeholders. Shows institutional awareness and some understanding of applied problem solving, may require coaching and guidance as to how to most rapidly reach a satisfactory conclusion The hiring manager for this job opening would welcome a conversation about flexible working. This could range from ad hoc flexibility in a full time position, to a more formal Flexible Work Arrangement. @2019 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
Analytics Consultant – London,kdr Recruitment,London,Permanent,"£60,000 - £68,000 a year","Analytics London, UK Permanent £60,000 - £68,000 per annum + bonus + training + holidays + more! 1044 Analytics Consultant | London | £60,000 – £68,000 per year Do you want to be part of a role where you can see results & get excited about the projects you work on? Do you want to be working with some of the most sought-after technologies in the Data Engineering market at the moment? I’m working with an up and coming organisation who work with businesses to evaluate, develop, and deploy end-to-end data solutions across Business Intelligence, Analytics, Data Warehousing, Data Science, ETL/ELT and more. My client is looking for an Advanced Analytics professional who can support the business from insights gained from the company. You’ll understand the importance of “fast-paced” and the ability to engage with stakeholders. What will you be doing? You’ll be using large data sets, to find opportunities for optimisation and using models to test different courses of action. You’ll use a variety of data tools, build models, create algorithms and discover solutions hidden in those data sets to improve business process. What do they need from you? Ability to mine and analyse data from company databases Experience using R, Python, SQL to manipulate Cloud technologies (AWS, Azure, GCP or Snowflake) Predictive modelling Knowledge of Machine Learning techniques In exchange for your knowledge, my client really prides themselves on reward and loyalty. They’ll go the extra mile and make sure you’re fully up to scratch with any technologies and send you the relevant courses to gain certifications. They will be looking out for hard workers, good attitude and dedicated staff. You’ll work alongside some truly innovative professionals who put their heart and soul into the business. As well as the above, you can expect the following: £60,000 to £68,000 as a base salary Bonus scheme Exposure to their own technologies – Snowflake, MatillionETL and Looker Full training in pretty much any tool you’d like! Not only that, you will be part of something truly game-changing & work with large datasets daily. You’ll be based in Central London but have a level of autonomy in your role, if you understand the importance of deadlines. There are 2 of these roles available, purely down to growth. Get in touch today to hear more about the role…"
"Solution Engineer, BI & Analytics - Public Sector or Financial Services, Tableau",Salesforce,London,NA,NA,"Job Category Sales Job Details Solution Engineer, BI & Analytics, Tableau Who we are….. Tableau is one of the world’s fastest growing software companies. We’ve been ranked as the clear market leader in the Gartner Magic Quadrant for BI & Analytics for the seventh year running. Not only do we have world-class products, Tableau is also the 3rd fastest growing marketable skill! Our world expansion continues to help people see and understand their data, and we’re growing on a huge scale. We are hiring Solution Engineers, to come and join one of the best technical pre-sales teams in the world, and if you’d like to be part of our journey, we’d love to hear from you. Preferably you'll have experience of working or, and/or an interest in financial services or the public sector. What you’ll be doing…. Our Solution Engineers are the key technical point of contact for all customer accounts at Tableau, helping them solve complex data and analytical issues during the sales cycle. Tableau’s Sales team will rely on your business advisory, technical and product expertise throughout the sales process, whilst also performing technical discovery qualification, propose architectural recommendations for the solution, deliver product demonstrations and Proof of Concepts. Additionally you will trouble technical configuration engagements. Who you are….. New to pre-sales? These are the core skills you'll need to be successful: Education. Degree in Computer Science, Software Engineering, MIS or an analytical subject, or equivalent work experience. Experience. Strong hands-on commercial experience and hands-on technical experience in; Business Intelligence, ETL, Analytics, Big Data, Data Science, Databases, Data Warehousing and/or Software Architecture. Communication. Excellent verbal communication, written communication, and presentation skills. Excellent presentation abilities and composure in front of all levels of technical and business audiences. Flexibility. To travel as needed and to work flexible hours throughout the sales territory Seasoned Pre-sales professional? These are the core skills you'll need to be successful: Experienced. Demonstrable pre-sales enterprise software experience gained within the BI/Analytics/Data sector or a related technical area. Skillset to establish trust with clients, and ability to influence during the sales cycle. Highly Technical. Hands-on technical experience in some of; Business Intelligence, ETL, Analytics, Big Data, Data Science, Databases, Data Warehousing and/or Software Architecture. Involvement in architectural discussions. Domain. Experience building and delivering Proofs of Concept (PoCs) and responding to functional & technical elements of RFIs/RFPs. Passionate. A passion for technology and translating that passion into business impact for customers. Communication. Excellent verbal communication, written communication, and presentation skills in front of all audiences. Flexibility. To travel as needed and to work flexible hours throughout the sales territory What you’ll achieve in your first year: Complete Tableau’s world-class boot-camp program in Seattle Your Tableau Desktop Qualified Associate qualification. Your Tableau Server Qualified Associate qualification. Your Tableau Certified Professional qualification. Support the full pre-sales lifecycle on a set of accounts or territory. Ownership of a key initiative area to support development for the whole team. Attend and present best practices at one of our world-class marketing events Partner with your account executives on territory, account and opportunity planning. Influence product direction by feeding back customer requirements from the field to our product management and engineering teams Be an integral part of our customers’ ongoing success through continual engagement in your accounts Be a valued part of our incredible Tableau community through forums, blogs and social media. Recruit and mentor the next generation of Tableau talent. #LI-TH1 Accommodations - If you require assistance due to a disability applying for open positions please contact the Salesforce.com Recruiting Department . Posting Statement Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay fees to any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org."
Software Engineer (Machine Learning/AI),GCS Recruitment Specialists Ltd,London,Permanent,NA,"Software Engineer (AI/Machine Learning) Working for an Leading AI company based near Mayfair (Central/West London). The business are leading the way in introducing AI / Machine learning technologies into the world of Asset Management. They've raised over 50 million in investments, most recently being backed by the leading fund manager in the world. The current team stands at around 90 individuals, with an expected headcount c200 by the end of 2020. Most of the team have their PhD's within AI/ Machine learning, however are all very grounded. Requirements: Ability to write clean, reusable, scalable code in a variety of languages (e.g. Python, Golang, Node.js, Typescript, Scala, R,GO) Choosing the best tools for the job, rather than picking up SDKs that you're familiar with An genuine interest in Machine Learning / Data Science / AI Nice to have: GCP/ AWS/ Docker/ Kubernetes/ Terraform Masters or PhD is massive plus (or a BSc in AI/ Machine learning/ Modern Science) Some of the tasks you might cover in your first few months could include, building ETL data pipelines, API development etc. Salary: Depending on experience. Could range from Associate to Director level Package includes a Bonus, Equity shares within the business and a guaranteed 10% salary increase per anum. They will interview via Zoom with an immediate start- you will work remotly for the time being. If you would like to hear more about this special opportunity then please get in touch. Email: Jamie.Sharpstone@gcsrecruitment.com DD: 0203 829 3039 GCS Computer Recruitment Services is acting as an Employment Agency in relation to this vacancy."
Machine Learning Engineer - Contract - London,Lorien Resourcing,London EC3A,Contract,NA,"Machine Leaning Engineer - CONTRACT Based in London Generous Rate and exciting commercial projects Are you an experienced Machine Learning Specialist looking for a new project? Keen to join a global and dynamic organisation who invest heavily in their Big Data and AI department? If so please read on and apply for instant review. Bases in London Fulltime Highly interesting projects for you to be influential in. Very competitive daily rate Responsibilities Joining the Data Scientists in the big data and AI teams, you will be responsible for providing key advanced analytics for the stakeholders Build end to end applications to utilise large volumes of operational system data, in a cloud based analytics platform Standardise machine learning solutions into production systems Key Competencies Expert in Software Engineering Must have experience with Pyspark Experience with Tensorflow Pipeline Automation experience (Jenkins, Airflow or similar) If you have these experienced and are interested in starting a new contract, please apply for instant review or email your CV Keywords Machine Learning Engineer, Machine Learning Specialist, Big Data, AI, London, Software Engineer, Pyspark, Tensorflow, Data Science We are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity or age"
ANALYTICS PLATFORM TOOLS AND QA LEAD,Spring,London,Contract,NA,"Analytics Platform Tools and QA Lead - 3 months Contract to perm - West London  Global FMCG is looking for an Platform Tools and QA Lead who has hands on expertise in setting up ANALYTICS platform on Azure cloud. IoT, infrastructure operations and design background, cloud architecture, single and multi-cloud, CI/CD tools like Azure devops, Jenkins, Ansible, Puppet, Git, Jira, Confluence etc.Analytics tools like Domino data Lab, Data Robot, Data science workbench, ETL tools like Infoworx, Streamsets, Kafka, Batch transfer tools. Spring Technology acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. The Spring Group UK is an Equal Opportunities Employer. By applying for this role your details will be submitted to Spring. Our Candidate Privacy Information Statement explains how we will use your information - please copy and paste the following link in to your browser: www.spring.com/candidate-privacy-information-statement To speak to a recruitment expert please contact Krupali Patel"
"Senior Fraud Analyst, Machine Learning - Remote Working",Harnham,London,Permanent,"£65,000 - £70,000 a year","SENIOR FRAUD ANALYST, MACHINE LEARNING - REMOTE WORKINGUP TO £70,000LONDON, CURRENTLY FLEXIBLE/REMOTE/HOME WORKING An innovative software company in the digital fraud and authentication space are looking for a Senior Fraud Analyst to work with customers on implementing and optimising a market leading solution. THE COMPANY Providing software solutions across the digital fraud space, this company have been voted one of the leading rising FinTechs and certainly one to watch! Currently delivering several authentication solutions to model consumer behaviour across device IDs, biometrics and transactional data. Looking at developing solutions for plastic fraud, this is a great early opportunity to join a fast-growing company, truly changing the landscape. THE ROLE Provide analytics support to customers across financial services, travel, e-commerce, and more Utilising SQL and Python for analysis and visualisation Optimising existing solutions by making rule changes Applying advanced statistical modelling techniques to move towards a more dynamic detection system Assist customers in the implementation stage YOUR SKILLS & EXPERIENCE Strong analytical skills with SQL, Python and/or R Experience optimising rules-based fraud systems Financial services experience, with a preference for credit card environment Good academic background with degree in Maths, Statistics, or similar STEM subject Knowledge of API implementation Modelling experience is highly advantageous BENEFITS Up to £70,000 Share scheme options Health insurance including gym discounts Up to 30 days holiday Flexible working Matched pension contribution HOW TO APPLY Please register your interest by sending your CV to Rosalind Madge via the Apply link on this page. Please note that our client is currently running a fully remote interview process, and able to on-board and hire remotely as well. This role is intended to be home working for the duration of the COVID-19 situation."
Senior Software Development Engineer - Machine Learning,Amazon Dev Centre (London) Ltd,London,NA,NA,"Bachelor’s Degree in Computer Science or related fieldEquivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education2+ years professional experience in software developmentComputer Science fundamentals in object-oriented designComputer Science fundamentals in data structuresComputer Science fundamentals in algorithm design, problem solving, and complexity analysisKnowledge of, at least, one modern programming language such as Java, C++, C, Java, or PerlAlexa Shopping NLU team is looking for a passionate, results-oriented, inventive software developer to join our team in London. You will be part of a team with strategic impact in the Alexa Shopping business, designing and implementing new software inventions and simplifications in the spoken language understanding domain. You thrive in a fast-paced environment, understand the artificial intelligence space, and will help us delivering key features to keep delighting our customers. As software developer in Amazon, you are expected to have technical ownership of you designs and services and influence good coding practices among your peers. Responsibilities include design, code, review, test, fix, research, deploy and maintain services and code in Amazon cloud and production environments. Successful candidates will be strong developers who can prioritize well, develop at the highest standards in the industry, deal with ambiguous and non explored problem domains, and have a consistent track record of delivery. Professional traits that are not unique to this position, but necessary for Amazon engineers:Exhibits excellent judgmentHires and develops great peopleHas relentlessly high standards (is never satisfied with the status quo)Is able to dive deep and is never out of touch with the details of the business or the technologyExpects and requires innovation of her/his teamHas passion and convictions and the innate ability to inspire passion in othersStrong results orientationThinks big Experience building complex software systems that have been successfully delivered to customersKnowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsAbility to take a project from scoping requirements through actual launch of the projectExperience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.Have experience with Machine Learning and/or DNN models. Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice to know more about how we collect, use and transfer the personal data of our candidates. #NicheTechUK"
